"id","profileName","text","date","title","rating","images","helpful","variant:","variant:colour","variant:style name"
"R1MI8HNTIFTDYT","Arnav","____________________Technical Specifications---------------------------------Here's the technical information of Boat BassHeads 225 In-Ear Headphones. The information provided below is as per the manufacturer. Boat BassHeads 225 have a frequency range of 20 Hz to 20 kHz. It Features 10 mm drivers. Rated Impedance of 16 ohms. Comes with 1.2 meter Flat Tangle Free Cable. 3.5 mm Gold-Plated L-Shaped Audio Jack (90 degrees). Sensitivity : 98 dB+/-3 dB.____________________Built Quality & Design---------------------------------I was not expecting metal built at this price range but to my surprise, Boat BassHeads 225 are fully made up of metal. It has a diagonal grid-like texture on the buds which feels amazing on touch. The metal construction gives Boat BassHeads 225 a premium feel & attractive appearance. The cable used by Boat on BassHeads 225 is Flat with rubberized coating, it is a tangle-free cable & does it's job well by decreasing the chances of the cable tangling. Despite the metal construction, Boat BassHeads 225 are very lightweight & comes with a microphone & L-Shaped 3.5 mm audio jack which is again made up of metal. Overall the built quality is excellent for the price & seems very durable. The ear buds have proper L & R labels and are clearly visible. Boat BassHeads 225 comes with medium sized silicone tips already installed out-of-the-box.___________Audio Quality-------------------To ensure that I can test the BassHeads 225 at their uppermost limit, I used high-quality MP3 files of 320 kbps & Lossless audio formats like FLAC & WAV. For smartphone listening, I used Poweramp music player & tweaked settings every now and then to see their extreme capability. For the computer, I used iTunes player & VLC Audio player. I also tested these earphones on Apple iPod, iPhone & Sony MP3 Player. All this went for more than 10 days & finally, I had my results.Boat BassHeads 225 promised what they claimed, they really are very bassy as compared to others. During my tests with them, I found that the audio quality is very good for the price, the bass output is amazing and overpowers the vocals by default, by tweaking the equalizer settings a bit, I saw a good level of improvement in the vocals, they were clearer than before but overall average. The treble was again very good, the high-frequency sounds were clear & pleasant to ears. The mids were average but overall the audio experience on Boat BassHeads 225 was decent. When listening to music, the overall sound quality is amazing, you can easily distinguish between different instruments & sounds which is a good thing for extra bassy headphones.______________________Noise Isolation & Comfort-------------------------------------When it comes to Noise Isolation, Boat BassHeads 225 are very good at it, They come with medium sized ear tip pre-installed which seemed perfect for my ears, once the earphones are on, I wasn't able to hear outside noise, they sealed my ears completely & delivered an immersive experience. Make sure that you have the right pair of ear tips on for better noise isolation & comfort. Overall Boat BassHeads 225 are comfortable but they seem a bit stiff & somewhat awkward when used for longer periods. Since the housing is made up of metal, you may find them popping out every now & then when used during running, jogging or any other sport or physical activity, this didn't happen as often for me but for a friend, they keep popping out every now & then while running (maybe the shape of ears has something to do with it), An easy solution to this will be using the Ear Hooks which came along with it. When using BassHeads 225 with Ear Hooks, they were a bit uncomfortable initially, but as I got used to them, they were fine, plus this stopped popping issue since the hooks keep a hold on them.-----------------------------------------Flat Cable & Microphone-----------------------------------------The cable is great, I personally prefer flat cables and this earphone come with a perfect flat cable which is tangle free & comes with a rubberized coating. The cable does its job well. The microphone is again exceptionally good, it records voice with clarity with less to no disturbance or background noise. During calls, the person on the other end can clearly hear the voice with no background disturbance. There is one button on the microphone which helps to pick up/reject calls on the go, without taking your phone out. It can also be used to control music, which is again a good to see in a budget friendly earphone like Boat BassHeads 225.____________________Warranty & Price---------------------------------Boat BassHeads 225 comes with standard One Year Warranty, so make sure you keep the purchase invoice safe, in case you need it for warranty._____________Final Thoughts!----------------------I've personally used Boat BassHeads 225 In-Ear Headphones for more than two weeks (average daily two hours of listening) before writing this review and I'm pretty much impressed with them. I'm personally a fan of Extra Bass IEM's and currently, my primary IEM is Sony MDR-XB50AP which again falls under Extra Bass category. Comparing Sony MDR-XB50AP with Boat BassHeads 225 will be unfair since there is a big price difference between both of them, but I would still like to add that BassHeads 225 did a great job and didn't disappoint me, obviously it doesn't stand a chance in front of Sony MDR-XB50AP but still looking at the price of BassHeads 225 & the quality they offer, I was really very impressed.Boat BassHeads 225 turned out to be exceptional earphones, after testing them for more than two weeks with different devices & music players, I can say that they're amazing for the price, a pure steal deal. The bass output is amazing and is very intense, I'll recommend using correct size ear tips & good quality music player like Poweramp (Android) for better bass output. The treble is good & vocals are average, somewhere I feel that bass overpowers the vocals, but by tweaking the equalizer a bit you can achieve better results. The mids are again average.*****************************My Rating : 4 out of 5*****************************____________________The Verdict---------------------------------Taking everything into account, overall I'm very impressed with Boat BassHeads 225. The Built quality is amazing, the performance is exceptionally good with powerful bass & good overall soundstage. Tweaking the equalizer a bit can bring drastic improvements to other areas like vocals, mids & highs. Overall the vocal & highs are good & mids are average but still good for the price. I'll recommend these IEM's to bass lovers & budget-conscious people who are looking for high quality & durable earphones at a reasonable price. Genres like EDM, Rock, Hip-Hop sound really great on them. Boat BassHeads 225 justify the price they come for, the results are very good as compared to other earphones in same price range.HOPE I HELPED YOU.THANKS","Reviewed in India on 27 January 2018","The best earphones you can find out there under 500 Bucks..??? Are they Comfortable..?? Let's find out.....","4.0 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/61B1hy3wugL.jpg
https://images-na.ssl-images-amazon.com/images/I/61ClW7uzjoL.jpg
https://images-na.ssl-images-amazon.com/images/I/61EgyDEH2QL.jpg
https://images-na.ssl-images-amazon.com/images/I/61OYFZBhVgL.jpg
https://images-na.ssl-images-amazon.com/images/I/61qXP6TMQ5L.jpg
https://images-na.ssl-images-amazon.com/images/I/61scZBEl-QL.jpg
https://images-na.ssl-images-amazon.com/images/I/718S65DSbyL.jpg
https://images-na.ssl-images-amazon.com/images/I/71OmQFvHsxL.jpg
https://images-na.ssl-images-amazon.com/images/I/71VQ5ClIelL.jpg
https://images-na.ssl-images-amazon.com/images/I/71qjj8ycNXL.jpg
https://images-na.ssl-images-amazon.com/images/I/71rYU-fpRIL.jpg","946",,,
"R3FUI70O5HA6WM","Raam","The product is budget friendly and the durability is of 2 to 3 years worth buying. Sound quality is awesome.","Reviewed in India on 18 January 2025","Budget friendly product","4.0 out of 5 stars","https://m.media-amazon.com/images/I/81Zy89LV60L.jpg","0",,,
"RXUFVUS32AF5F","Gayatri Naik","Nice product, Best for Bess Lover","Reviewed in India on 23 January 2025","Nice product","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61FQEswSkYL.jpg
https://m.media-amazon.com/images/I/61kr+4AP4WL.jpg
https://m.media-amazon.com/images/I/71rZtb23m5L.jpg","0",,,
"RP9I4VL12V12M","Vikas Khade","This is the second time I am using these earphones.Good sound quality and the earphones quality as well.If you are thinking to buy this, can go for it.","Reviewed in India on 30 January 2025","Good quality of earphones","5.0 out of 5 stars","https://m.media-amazon.com/images/I/615a2VpHWFL.jpg
https://m.media-amazon.com/images/I/61cc3z5b5DL.jpg
https://m.media-amazon.com/images/I/71G3Sty3xgL.jpg
https://m.media-amazon.com/images/I/71HVKpeOWlL.jpg
https://m.media-amazon.com/images/I/71sf7LrNTxL.jpg","0",,"Black","With Carry Case"
"R387EBPRKIKDD0","Ashish Mishra","I must say it survived 4 years, I have used my earphone a lot + it fell many times, splashed Still no damaged, Now left earpiece is 10% less louder as compared to right one but still working  fine sound is good.","Reviewed in India on 20 October 2024","After 4 years","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61wC+zWFi1L.jpg","0",,,
"R24D2Z53GB3HXF","Fitness Freak","I bought these headphones after reading lot of positive reviews, thought i would share my personal review about the product to help other buyers.Product I received had a defective microphone and aweful amazon delivery that is why I am rating this product based on only product quality.I am going to give review based on what Manufacturer promised in Headphone description vs My experience.1) boAt BassHeads 225 polished metal earphones are designed to give you an experience which no other brand can match.My Exp - Design is solid and comes with polished metal earphones and they are right when they say in this price range (RS 449), no other brand is offering quality like this right now.2) It has an incredible sonic clarity with """"Super Extra Bass"""".My Exp - These earphones do offer extra bass without any doubt.3) It is not a plastic earphone - It is polished metal. With tangle free flat cables, you are expected to be hassle free.My Exp - It does have a Hard build and Durability. Made up of hard polished metal and tangle free strong flat cables.4) As the headphones feature 10mm drivers, they give you clear sound with that thumping bass.My Exp - Headphones without a doubt do offer clear thumping Bass. Half phone volume is loud enough for ears.5) In-built noise cancelling mic ensures you don't miss those important calls.My Exp - I wasn't able to test the MIC as the product I received had a defective Mic, So i requested a refund.6) With colors that match your style in your day, the boAt earphones are the ideal choice for anyone who can carry that attitude. Just plug them in and plug into nirvana.My Exp - They do offer 3 variety in colors and do look classy. If you are confused over which color to pick. If you like really bright colors go with RED. If you are a all day Black color Lover, there is option for BLACK and BLUE color is something in the middle which makes your earphones look more classy.Other Experience :1) I liked the over all design of the product it does look classy and give you good Bass. Comes with enough accessories like 5 multiple sized extra pairs of eartips and to help you get the right match, holding clip and a pair of ear hooks.Cons - Eartips & Ear Hooks could have been softer, ears do start to pain after 15-20 mins of playtime which makes it really irritating.2) Has Single Button which can do multiple actions.*Single Tap = Accepting/Disconnecting call & Play/Pause.*Double Tap = Play next song.Cons - Volume cant be controlled with this button, you will have do it manually using the phone buttons.3) It has L shaped 3.5 mm jack with a solid build which has more durability compared to regular straight jacks.Cons - This jack dont have a good fit and pop out everytime you move, if you use standard covers. Only solution i could find is, use a very thin cover or a cover which has big 3.5 jack hole point which hardly anyone offers or last resort, you can go coverless.Overall - If you are looking for a good build earphones to listen to loud music with good bass & dont really care about the comfort. This is the best bet you will get in this price range. But if you prefer comfort, This earphones is not such a good idea. you will soon get irritated and look for something better like I have.Amazon Delivery Feedback - Usually this doesn't happen but my delivery was delayed and I received the product with a defective mic, I had to make number of calls to get return pickup finally done and requested full refund from amazon, which they agreed to give.If this give helped you clear any doubts, please do give me helpful vote - It will motive me to share more reviews in future.","Reviewed in India on 29 March 2017","BASS so good you wont feel like taking them OFF. COMFORT so bad you cant wait to take them OFF.","4.0 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/71NNHCQiroL.jpg
https://images-na.ssl-images-amazon.com/images/I/71O4VhhNv0L.jpg
https://images-na.ssl-images-amazon.com/images/I/71VncyfiR6L.jpg
https://images-na.ssl-images-amazon.com/images/I/71Ww53MprFL.jpg
https://images-na.ssl-images-amazon.com/images/I/71nTbIrCh6L.jpg
https://images-na.ssl-images-amazon.com/images/I/816PhyV78dL.jpg
https://images-na.ssl-images-amazon.com/images/I/81T6T4wIyKL.jpg","101",,,
"R2YGV294MAAFP3","Akash.m.j",false,"Reviewed in India on 15 January 2025","Very good  product as per the price point","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71YVZ4aBdgL.jpg","0",,,
"R7SFUUBHQ2CS2","399 ka hisab se aacha headphon hai","I used it for 1 week and  feel satisfied, at 399 Rupees","Reviewed in India on 30 December 2024","Product quality","5.0 out of 5 stars","https://m.media-amazon.com/images/I/81fkUj582ZL.jpg","0",,,
"R2DJWR0B92IBFD","Amazon Customer","Headphone is working well. But it is very old product. Manufactured on Jul 2021. And after 3 yrs it is selling. It shows 1 yr warranty. Im not sure about it.","Reviewed in India on 7 October 2024","Good product","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71zsjiIropL.jpg","0",,,
"R1JPM4B3WA6V0B","Too good must buy","Decent quality i bought this product 1 year ago and still it works","Reviewed in India on 26 December 2024","Quality of sound is good","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61srfMtbF8L.jpg","0",,,
